 # z[m]                Wz_trx/Z_0/L[1/(m^2*s]           Wz_try/Z_0/L[1/(m^2*s]       Wz_l/Z_0/L[1/(ms)]
     0.000149896               -1.40555e+10             -2.81273e+10                 7.79532e+09 
      0.00164886               -1.51676e+10             -3.03527e+10                3.15663e+09 
      0.00614575               -1.85671e+10             -3.71554e+10                6.27204e+08 
       0.0136406               -2.42357e+10             -4.84986e+10               6.29828e+08 
       0.0241333               -3.14862e+10             -6.30061e+10               3.22459e+08 
        0.037624               -3.83765e+10             -7.67902e+10              2.19618e+08 
       0.0541125               -4.22819e+10             -8.45949e+10               1.34732e+08 
        0.073599               -4.25548e+10             -8.51198e+10              1.09271e+08 
       0.0960835               -4.24944e+10             -8.49602e+10               1.47542e+08 
        0.121566               -4.48922e+10             -8.96943e+10              84570800 
        0.150046                -4.6367e+10             -9.25458e+10              75297100 
        0.181524               -4.51777e+10             -9.00187e+10              92154300 
           0.216               -4.56881e+10             -9.08335e+10               58525500 
        0.253475               -4.51392e+10             -8.94567e+10              51152700 
        0.293947               -4.36999e+10             -8.62144e+10              61931400 
        0.337416               -4.30256e+10             -8.44099e+10              39637800 
        0.383884               -4.09203e+10             -7.96408e+10              36240400 
         0.43335               -3.95862e+10             -7.63113e+10             38659600 
        0.485814               -3.74282e+10             -7.12292e+10              35151300 
        0.541275               -3.52918e+10              -6.6092e+10              36145300 
        0.599735               -3.34735e+10             -6.15031e+10              27662600 
        0.661192               -3.09403e+10             -5.54102e+10              32891800 
        0.725648               -2.87989e+10             -5.00467e+10              27323600 
        0.793101               -2.68904e+10             -4.51175e+10              28638900 
        0.863552               -2.47254e+10             -3.96676e+10              21176000 
        0.937001               -2.25476e+10             -3.42115e+10              23501500 
         1.01345               -2.06098e+10             -2.92815e+10             20079400 
         1.09289               -1.88869e+10             -2.48528e+10             20003300 
         1.17534               -1.72886e+10             -2.07682e+10             16489800 
         1.26078               -1.57808e+10             -1.69798e+10             15932900 
         1.34922               -1.43685e+10             -1.35142e+10             19217000 
         1.44065               -1.30598e+10             -1.03995e+10             15302900 
         1.53509               -1.18484e+10             -7.63079e+09             14739200 
         1.63252               -1.07092e+10             -5.16082e+09             15902200 
         1.73295               -9.60407e+09              -2.9119e+09             12123500 
         1.83638               -8.50154e+09             -8.17233e+08             9722380 
         1.94281               -7.39584e+09              1.13976e+09             8869210 
         2.05223               -6.27899e+09              2.97893e+09             2714490 
         2.16465               -5.07378e+09              4.85576e+09             -1425310 
         2.28007               -3.70257e+09              6.92272e+09             -3856560 
         2.39849               -2.32386e+09              8.85684e+09             -9136990 
         2.51991               -1.14491e+09              1.02368e+10             -12176300 
         2.64432                 1.3662e+07              1.14176e+10             -16553800 
