# z[m]                Wz_trx/Z_0/L[1/(m^2*s]           Wz_try/Z_0/L[1/(m^2*s]       Wz_l/Z_0/L[1/(ms)]
     0.000149896              -2.56436e+10                -5.13084e+10                               5.48402e+09 
      0.00164886              -4.40309e+10                -8.80981e+10                              3.08826e+09 
      0.00614575              -7.04777e+10                -1.41013e+11                              1.66205e+09 
       0.0136406              -8.11279e+10                 -1.6232e+11                             5.27451e+08 
       0.0241333              -9.03381e+10                 -1.8074e+11                             5.71358e+08 
        0.037624               -9.6882e+10                -1.93811e+11                            3.48729e+08 
       0.0541125              -1.03444e+11                -2.06887e+11                             2.45032e+08 
        0.073599              -1.07972e+11                -2.15843e+11                            2.17847e+08 
       0.0960835              -1.11504e+11                -2.22723e+11                             1.92646e+08 
        0.121566               -1.1281e+11                -2.25029e+11                            1.20101e+08 
        0.150046              -1.13079e+11                -2.25101e+11                            1.34008e+08 
        0.181524              -1.11959e+11                -2.22187e+11                            1.16513e+08 
           0.216              -1.09681e+11                -2.16704e+11                             98771800    
        0.253475              -1.06294e+11                -2.08714e+11                            91948100     
        0.293947              -1.01879e+11                 -1.9835e+11                            74638000     
        0.337416              -9.70041e+10                -1.86733e+11                            63171900     
        0.383884              -9.14627e+10                -1.73453e+11                            58167400     
         0.43335              -8.55103e+10                -1.59044e+11                             60230200      
        0.485814              -7.94539e+10                -1.44162e+11                            55782000     
        0.541275               -7.3296e+10                -1.28872e+11                            48926900     
        0.599735              -6.72112e+10                  -1.136e+11                            38200800     
        0.661192              -6.13079e+10                 -9.8651e+10                            45422000     
        0.725648              -5.56671e+10                 -8.4283e+10                            37732500     
        0.793101              -5.03578e+10                -7.07296e+10                            39549000     
        0.863552              -4.54015e+10                -5.81259e+10                            29243100     
        0.937001              -4.08409e+10                -4.66392e+10                            32454500     
         1.01345              -3.66719e+10                -3.63301e+10                           27728700      
         1.09289              -3.29044e+10                -2.72693e+10                           27623600      
         1.17534              -2.95089e+10                -1.94308e+10                           22771700      
         1.26078              -2.64471e+10                -1.27504e+10                           22002600      
         1.34922              -2.37581e+10                -7.30085e+09                           26537800      
         1.44065              -2.13442e+10                -2.86338e+09                           21132600      
         1.53509              -1.91602e+10                 6.90392e+08                           20354100      
         1.63252              -1.72073e+10                 3.40642e+09                           21960200      
         1.73295              -1.53168e+10                 5.67705e+09                           16742000      
         1.83638              -1.34021e+10                 7.73012e+09                           13426100      
         1.94281              -1.13443e+10                 9.84839e+09                           12248000      
         2.05223              -9.11321e+09                 1.21222e+10                           3748590       
