# z[m]=zi*speed_c*beta    Wtr/Z_0/L[1/(m^2*s]          Wz_l/Z_0/L[1/(ms)]                     
       -2.67553               55771.2               590.568      
       -2.66027                4199                 817.075      
       -2.64504               -49916.7              661.697      
       -2.62986               -81297.1              195.665      
       -2.61473               -75277.1             -365.579      
       -2.59964               -34504.2             -763.008      
       -2.58459               22407.7              -813.383      
       -2.56958               69504.7              -492.425      
       -2.55462               85345                 55.3426      
       -2.5397                62655.7               583.182      
       -2.52483               11494.4               853.801      
       -2.51                 -45377.6               745.327      
       -2.49521               -82706.8              304.577      
       -2.48047               -83926.2             -274.914      
       -2.46577               -48367.8             -739.053      
       -2.45112               8568.33              -884.657      
       -2.4365                62228.1              -647.309      
       -2.42194               89423.3              -128.102      
       -2.40741               78378.1               451.061      
       -2.39293               33666.8               843.147      
       -2.37849               -25856                881.044      
       -2.3641               -75125.4               547.443      
       -2.34975               -93431.4             -19.0802      
       -2.33545               -73023               -583.109      
       -2.32118               -22218.5             -910.766      
       -2.30696               38152.3              -866.106      
       -2.29279               83384.8              -466.034      
       -2.27866               94995.2               127.818      
       -2.26457               68155.1                675.71      
       -2.25053               13524.4               956.934      
       -2.23653               -47141.5               857.96      
       -2.22257               -89735.4              416.712      
       -2.20866               -97348.8             -193.673      
       -2.19479               -66856.8             -733.997      
       -2.18096               -10024.5             -992.964      
       -2.16718               51185                -868.974      
       -2.15344               93170.4              -408.398      
       -2.13975               99756.6               213.441      
       -2.1261               68297.4                760.178      
       -2.11249               10563.2               1024.44      
       -2.09893               -51812.9              905.669      
       -2.08541               -95512.3               446.81      
       -2.07193               -104215               -182.87      
       -2.0585               -74570.8              -751.408      
       -2.04511               -17313.6             -1049.84      
       -2.03177               46773.2               -968.25      
       -2.01847               94481.3               -534.72      
       -2.00521               108559                95.9607      
       -1.99199               83835.7               698.827      
       -1.97882               28951.8               1059.36      
       -1.9657               -36814.4                1049.2      
       -1.95261               -90412.2              670.457      
       -1.93958               -113094               53.7816      
       -1.92658               -96874.5             -588.036      
       -1.91363               -47185               -1034.09      
       -1.90072               19107.3              -1131.01      
       -1.88786               79535.6              -844.458      
       -1.87503               113671               -269.644      
       -1.86226               109957                401.791      
       -1.84952               69478.9               946.516      
       -1.83683               5487.81               1183.72      
       -1.82419               -61068.9              1034.18      
       -1.81159               -108462               545.149      
       -1.79903               -121237              -126.103      
       -1.78651               -95135               -764.032      
       -1.77404               -38353.2             -1164.34      
       -1.76161               31182.2              -1198.79      
       -1.74923               91566.8              -855.021      
       -1.73689               123826               -239.255      
       -1.72459               117796                457.873      
       -1.71234               75183.9                1021.1      
       -1.70013               8927.46               1276.88      
       -1.68797               -60859.5              1145.93      
       -1.67584               -113051               666.284      
       -1.66377               -131872              -19.2463      
       -1.65173               -111562              -706.784      
       -1.63974               -57979.8             -1192.44      
       -1.62779               13233.7              -1332.35      
       -1.61589               81327.5              -1084.14      
       -1.60403               126517               -518.233      
       -1.59221               135678                203.625      
       -1.58044               106034                875.528      
       -1.56871               45843.9               1306.37      
       -1.55703               -28044                1373.61      
       -1.54539               -94995.5              1056.84      
       -1.53379               -136367               442.465      
       -1.52224               -140629               -301.28      
       -1.51073               -106455              -971.241      
       -1.49926               -42969               -1384.94      
       -1.48784               32818                -1429.62      
       -1.47646               100655               -1091.68      
       -1.46512               142466               -459.309      
       -1.45383               147103                301.929      
       -1.44258               113185                993.232      
       -1.43138               49361                 1434.61      
       -1.42022               -28034.5              1511.08      
       -1.4091               -99244.7               1201.47      
       -1.39803               -146148               582.677      
       -1.387               -156808                 -190.68      
       -1.37601               -128396               -925.85      
       -1.36507               -67789.5             -1440.19      
       -1.35417               10227.2              -1606.02      
       -1.34331               86663.8              -1381.24      
       -1.3325               142976                -818.574      
       -1.32173               165524               -51.8129      
       -1.31101               148770                736.997      
       -1.30033               96501.8               1361.21      
       -1.28969               20834.7               1673.46      
       -1.2791               -60704.9               1599.56      
       -1.26855               -129294                1154.8      
       -1.25805               -169144               439.394      
       -1.24758               -171057              -385.233      
       -1.23717               -134423              -1133.61      
       -1.22679               -67258.5             -1637.98      
       -1.21646               15674.3              -1785.28      
       -1.20617               96196.4              -1541.42      
       -1.19593               156720               -957.737      
       -1.18573               184049               -158.925      
       -1.17557               172158                684.637      
       -1.16546               123390                1393.67      
       -1.15539               47860.9               1817.91      
       -1.14537               -38751.5              1867.25      
       -1.13539               -118529               1529.62      
       -1.12545               -175025               872.565      
       -1.11555               -196603               28.4962      
       -1.1057               -178728               -832.895      
       -1.0959               -124791               -1539.09      
       -1.08613               -45329.7             -1949.03      
       -1.07641               44128.1              -1980.55      
       -1.06674               126166               -1625.59      
       -1.05711               184868               -950.891      
       -1.04752               208860               -84.2149      
       -1.03797               193403                810.714      
       -1.02847               141213                 1565.5      
       -1.01902               61846.9               2038.55      
       -1.0096               -30146.5               2140.94      
       -1.00023               -117964               1852.01      
       -0.990907               -185628              1222.21      
       -0.981624               -220854              363.114      
       -0.972386               -217190              -573.31      
