# z[m]=zi*speed_c*beta       WX/Z_0/L[1/(m^2*s]       WY/Z_0/L[1/(m^2*s]     WY_trail/Z_0/L[1/(m^2*s]        Wz_l/Z_0/L[1/(ms)]       
        -0.534401               6.80002e+07                   5.78195e+08                   6.83521e+07                       117362            
        -0.513238                6.3766e+07                   6.00682e+08                    6.3649e+07                       122459            
        -0.492502               5.98343e+07                   6.25217e+08                   5.93249e+07                       108740            
        -0.472194               5.65593e+07                   6.52607e+08                   5.58699e+07                      83079.8            
        -0.452313               5.40565e+07                   6.83185e+08                   5.34764e+07                      56379.7            
         -0.43286               5.21693e+07                    7.1672e+08                   5.19841e+07                      40356.2            
        -0.413835               5.05137e+07                   7.52505e+08                   5.09283e+07                      44287.2            
        -0.395237               4.85816e+07                    7.8956e+08                    4.9666e+07                      72618.5            
        -0.377067               4.58708e+07                   8.26895e+08                   4.75402e+07                       123963            
        -0.359324               4.20031e+07                   8.63757e+08                   4.40355e+07                       191582            
        -0.342009               3.68058e+07                   8.99802e+08                   3.88882e+07                       265048            
        -0.325121               3.03407e+07                   9.35167e+08                   3.21311e+07                       332557            
        -0.308661               2.28817e+07                    9.7043e+08                   2.40727e+07                       383279            
        -0.292628               1.48528e+07                   1.00649e+09                   1.52222e+07                       409241            
        -0.277023               6.74481e+06                   1.04439e+09                   6.18626e+06                       406424            
        -0.261845                   -969652                   1.08517e+09                  -2.44124e+06                       374963            
        -0.247095              -7.90577e+06                   1.12967e+09                  -1.01712e+07                       318547            
        -0.232773               -1.3811e+07                    1.1785e+09                  -1.66816e+07                       243255            
        -0.218878              -1.85797e+07                   1.23192e+09                  -2.18416e+07                       156110            
         -0.20541              -2.22411e+07                   1.28994e+09                  -2.57005e+07                      63661.6            
        -0.192371               -2.4925e+07                   1.35231e+09                  -2.84468e+07                     -29148.6            
        -0.179758              -2.68161e+07                   1.41865e+09                  -3.03449e+07                      -119633            
        -0.167573              -2.81046e+07                   1.48853e+09                  -3.16573e+07                      -207315            
